GRIN_accessionID,GRIN_ACCESSION,GRIN_PLANT_NAME,GRIN_TAXONOMY,GRIN_GENEBANK,GRIN_ORIGIN,GRIN_DbID,passQC,missingness_rate,Vv_ancestry_pct,NA1_ancestry_pct,NA2_ancestry_pct,Mus_ancestry_pct,EA_ancestry_pct,vivc_prime_name,vivc_number,vivc_country_origin,vivc_species,vivc_color,vivc_parent1,vivc_parent2,vivc_pedigree_confirmed,match_methods,n_confirming_methods,origin_crossval,species_crossval,ambiguous_flag
PI_597121,PI 597121,Beaver,Vitis hybr.,GEN,"Missouri, United States",1004417.0,True,0.12,38.4,8.3,53.3,0.0,0.0,BEAVER,1067,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,TRIUMPH,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_597120,PI 597120,Brilliant,Vitis hybr.,GEN,"Texas, United States",1004297.0,True,0.15,50.6,0.0,49.4,0.0,0.0,BRILLIANT,1686,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,ROUGE,LINDLEY,DELAWARE,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_597119,PI 597119,Tetra,Vitis hybr.,GEN,"Missouri, United States",1004167.0,True,0.31,44.3,42.9,12.8,0.0,0.0,TETRA,12407,GEORGIA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,MISMATCH,True
PI_597117,PI 597117,Kendaia,Vitis hybr.,GEN,"New York, United States",1004130.0,True,0.08,55.5,33.7,10.1,0.0,0.6,KENDAIA,6111,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,PORTLAND,HUBBARD SEEDLESS,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_597103,PI 597103,Moyer,Vitis hybr.,GEN,"Ontario, Canada",1003130.0,True,0.12,21.6,17.4,61.0,0.0,0.0,MOYER,8096,CANADA,VITIS INTERSPECIFIC CROSSING,ROUGE,DELAWARE,PINOT MEUNIER,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
PI_597114,PI 597114,Portland,Vitis hybr.,GEN,"New York, United States",1004060.0,True,0.14,0.0,100.0,0.0,0.0,0.0,PORTLAND,9616,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,BLANC,CHAMPION,LUTIE,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_597113,PI 597113,Hanover,Vitis hybr.,GEN,"New York, United States",1003938.0,True,0.13,22.1,0.0,77.9,0.0,0.0,HANOVER,5288,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,ROUGE,BRIGHTON,NIAGARA,view,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_597111,PI 597111,Brocton,Vitis hybr.,GEN,"New York, United States",1003779.0,True,0.1,51.6,0.3,48.2,0.0,0.0,BROCTON,1690,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,BLANC,BRIGHTON,NEW YORK 125,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_597110,PI 597110,Kensington,Vitis hybr.,GEN,"Ontario, Canada",1003694.0,True,0.13,0.0,100.0,0.0,0.0,0.0,KENSINGTON,6115,CANADA,VITIS INTERSPECIFIC CROSSING,BLANC,CLINTON,MUNKATSY JOZSEF,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
PI_597107,PI 597107,Goff,Vitis hybr.,GEN,"New York, United States",1003366.0,True,0.1,58.1,0.0,41.9,0.0,0.0,GOFF,4856,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,GOFF 19,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_597105,PI 597105,Strawberry Grape,Vitis hybr.,GEN,Unknown,1003203.0,True,0.1,66.1,0.0,33.9,0.0,0.0,STRAWBERRY GRAPE,15407,UNITED KINGDOM,,ROUGE,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,,False
PI_597104,PI 597104,Bergonia,Vitis labrusca L. ,GEN,Unknown,1003189.0,True,0.38,0.0,82.4,17.6,0.0,0.0,BERGONIA,1161,,VITIS LABRUSCA LINNÉ,,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,,OK,False
PI_588717,PI 588717,St. Pepin,Vitis hybr.,GEN,"Minnesota, United States",1014110.0,True,0.12,33.1,40.9,26.1,0.0,0.0,ST. PEPIN,15767,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,BLANC,ELMER SWENSON 114,SEYVAL BLANC,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588712,PI 588712,Galea,Vitis hybr.,GEN,Unknown,1013781.0,True,0.14,0.0,51.2,48.8,0.0,0.0,GALEA,4324,,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,,MISMATCH,True
PI_588675,PI 588675,Shimek,Vitis hybr.,GEN,"British Columbia, Canada",1013366.0,True,0.14,24.0,0.2,75.8,0.0,0.0,SHIMEK,16335,CANADA,VITIS LABRUSCA LINNÉ,NOIR,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
PI_588668,PI 588668,Zengoe,Vitis vinifera L. subsp. vinifera ,GEN,United Kingdom,1013235.0,True,0.08,100.0,0.0,0.0,0.0,0.0,ZENGOE,13423,HUNGARY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,EZERJO,BOUVIER,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588667,PI 588667,Brant,Vitis hybr.,GEN,United Kingdom,1013224.0,True,0.09,62.7,23.8,13.5,0.0,0.0,BRANT,1656,CANADA,VITIS INTERSPECIFIC CROSSING,NOIR,CLINTON,BLACK ALICANTE,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588666,PI 588666,Burdin 11042,Vitis hybr.,GEN,Unknown,1013124.0,True,0.1,71.6,22.7,5.7,0.0,0.0,BURDIN 11042,14150,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588664,PI 588664,Triomph d'Alsace,Vitis hybr.,GEN,"Minnesota, United States",1013097.0,True,0.12,19.8,74.6,5.6,0.0,0.0,TRIOMPHE D'ALSACE,12650,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,MILLARDET ET GRASSET 101 O.P.,KNIPPERLE,view,M5_fuzzy(r=0.970),1,MISMATCH,OK,False
PI_588662,PI 588662,Presly,Vitis hybr.,GEN,"Minnesota, United States",1013084.0,True,0.13,22.1,17.2,60.6,0.0,0.0,PRESLY,9681,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,ROUGE,ELVIRA,CHAMPION,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588661,PI 588661,Bei Chun,Vitis hybr.,GEN,China,1013074.0,True,0.33,50.0,0.0,0.0,0.0,50.0,BEICHUN,1086,CHINA,VITIS INTERSPECIFIC CROSSING,NOIR,MUSCAT HAMBURG,VITIS AMURENSIS RUPRECHT,,M5_fuzzy(r=0.933),1,OK,OK,False
PI_588659,PI 588659,Loretto,Vitis hybr.,GEN,Unknown,1013060.0,True,0.14,6.1,0.0,93.9,0.0,0.0,LORETTO,6905,UNITED STATES OF AMERICA,VITIS LABRUSCA LINNÉ,BLANC,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,True
PI_588658,PI 588658,Lutie,Vitis labrusca L. ,GEN,"Tennessee, United States",1013050.0,True,0.14,13.2,0.2,86.6,0.0,0.0,LUTIE,7002,UNITED STATES OF AMERICA,VITIS LABRUSCA LINNÉ,ROUGE,DRACUT AMBER,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588696,PI 588696,Seyve Villard 46-77,Vitis hybr.,GEN,France,1013606.0,True,0.36,44.7,44.7,10.1,0.0,0.5,SEYVE VILLARD 46- 77,20488,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,SEYVE VILLARD 39- 522,SANTA PAULA,,M3_umlaut|M4_hybrid_spacing,2,OK,OK,False
PI_588709,PI 588709,Ehrenfelser,Vitis vinifera L. subsp. vinifera ,GEN,Germany,1013752.0,True,0.11,100.0,0.0,0.0,0.0,0.0,EHRENFELSER,3847,GERMANY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,RIESLING,KNIPPERLE,view,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
PI_588705,PI 588705,Bryant,Vitis hybr.,GEN,"Missouri, United States",1013694.0,True,0.1,63.4,0.0,36.6,0.0,0.0,BRYANT,15205,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,MUENCH,TERRET BLANC,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588703,PI 588703,Seyve Villard 39-525,Vitis hybr.,GEN,France,1013672.0,True,0.16,54.2,38.1,7.7,0.0,0.0,SEYVE VILLARD 39- 522,11669,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,SEYVE VILLARD 19- 228,VILLARD NOIR,,M5_fuzzy(r=0.927),1,OK,OK,False
