child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
MOSCARGO,MUSCAT HAMBURG,Parent 2,SNP,SNP,231,75.9,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=75.9
PRACA,RABIGATO,Parent 1,SNP,SNP,231,74.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=74.7
PRACA,CASTELLANA BLANCA,Parent 2,SNP,SNP,231,74.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=74.7
PRETO CARDANA,CAYETANA BLANCA,Parent 1,SNP,SNP,231,80.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=80.7
PRETO CARDANA,MOLAR,Parent 2,SNP,SNP,231,80.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=80.7
PRETO MARTINHO,MARUFO,Parent 1,SNP,SNP,231,76.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=76.7
PRETO MARTINHO,CARREGA TINTO,Parent 2,SNP,SNP,231,76.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=76.7
RIO GRANDE,FERNÃO PIRES,Parent 1,SNP,SNP,231,61.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=61.7
RIO GRANDE,MONTUA,Parent 2,SNP,SNP,231,61.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=61.7
ROXO FLOR,GOUVEIO,Parent 1,SNP,SNP,231,56.5,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=56.5
ROXO FLOR,MARUFO,Parent 2,SNP,SNP,231,56.5,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=56.5
ROXO REI,MARUFO,Parent 1,SNP,SNP,231,53.9,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=53.9
ROXO REI,ALVARELHAO,Parent 2,SNP,SNP,231,53.9,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=53.9
SERCEALINHO,VITAL,Parent 1,SNP,SNP,231,80,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=80
SERCEALINHO,UVA CAO,Parent 2,SNP,SNP,231,80,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=80
TINTA AGUIAR,MARUFO,Parent 1,SNP,SNP,231,60.9,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=60.9
TINTA AGUIAR,TOURIGA NACIONAL,Parent 2,SNP,SNP,231,60.9,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=60.9
TINTA CARVALHA,CAYETANA BLANCA,Parent 1,SNP,SNP,231,54.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=54.7
TINTA CARVALHA,CAINHO DA TERRA,Parent 2,SNP,SNP,231,54.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=54.7
CIDADELHE,MARUFO,Parent 1,SNP,SNP,231,63.5,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=63.5
CIDADELHE,CASTELOA,Parent 2,SNP,SNP,231,63.5,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=63.5
