alias,canonical_vivc_name,source,match_score
TROJA,UVA DI TROIA,synonym (TROJA),100.0
HAKIKI,AKIKI,synonym (HAKIKI),100.0
FER SERVADOU,FER,synonym (FER SERVADOU),100.0
KISHMISH KRASNYI TURKMENSKII,NAOSE,synonym (KISHMISH KRASNYI TURKMENSKII),100.0
KING,GOLDEN CLINTON,synonym (KING),100.0
MALVASIA DEL CHIANTI,MALVASIA BIANCA LUNGA,synonym (MALVASIA DEL CHIANTI),100.0
NEIRETTA,SYRAH,synonym (NEIRETTA),100.0
KUHLMANN 477-1,CLAIRE KUEHLMANN,synonym (KUHLMANN 477-1),100.0
SEIBEL 9549,DE CHAUNAC,synonym (SEIBEL 9549),100.0
HERMAN GOETHE 9,GOETHE   9,synonym (HERMANN GOETHE 9),96.7741935483871
BOAL CACHUDO,BOAL VENCEDOR,synonym (BOAL CACHUDO),100.0
GAMAY HATIF DES VOSGES,GAMAY PRECOCE NOIR,synonym (GAMAY HATIF DES VOSGES),100.0
GREEN VELTLINER,VELTLINER GRUEN,synonym (GREEN VELTLINER),100.0
HERMANN JAEGER,JAEGER,synonym (HERMANN JAEGER),100.0
OPPENHEIM #4,SELEKTION OPPENHEIM 4,synonym (OPPENHEIM 4),95.65217391304348
MOURISCO BRANCO,CAYETANA BLANCA,synonym (MOURISCO BRANCO),100.0
CHASSELAS JAUNE CIRE,CHASSELAS BLANC,synonym (CHASSELAS JAUNE CIRE),100.0
DATTIER,AFUS ALI,synonym (DATTIER),100.0
PETIT VERDOT,PINOT NOIR,synonym (PETIT VEROT),95.65217391304348
MAMMOLO TOSCANO,SCIACCARELLO,synonym (MAMMOLO TOSCANO),100.0
INTERLAKEN,INTERLAKEN SEEDLESS,synonym (INTERLAKEN),100.0
NOIR D'AUTOMNE,OSENNII CHERNYI,synonym (NOIR D'AUTOMNE),96.2962962962963
BECLAN,BECLAN PETIT,synonym (BECLAN),100.0
LAGRAIN,LAGREIN,synonym (LAGRAIN),100.0
PETIT BOUSCHET,BOUSCHET PETIT,prime name,100.0
FRANKENTHAL BLANC,ELBLING WEISS,synonym (FRANKENTHAL BLANC),100.0
ALULU,PARMAK CERVEN,synonym (ALULU),100.0
BLAUER SPATBURGUNDER,PINOT NOIR,synonym (BLAUER SPAETBURGUNDER),97.5609756097561
ERBALUCE,ERBALUCE BIANCA,synonym (ERBALUCE),100.0
MUELLER-THURGAU,MUELLER THURGAU WEISS,synonym (MUELLER-THURGAU),100.0
MRS. PRINCE'S BLACK MUSCAT,PINCE'S BLACK,synonym (MRS. PINCE'S BLACK MUSCAT),96.0
CHATAQUA,CHAUTAUQUA,synonym (CHATAQUA),100.0
TSCHILACI,KANDAHARI SIAH,synonym (TSCHILACI),100.0
KARA LAKANA,LAHANA KARA,synonym (KARA LAKANA),100.0
CHASSELAS ROSE ROYAL,CHASSELAS ROSE,synonym (CHASSELAS ROSE ROYAL),100.0
MUSCAT CAILLABA,MUSCAT A PETITS GRAINS NOIRS,synonym (MUSCAT CAILLABA),100.0
MORIO MUSCAT,MORIO MUSKAT,synonym (MORIO MUSCAT),100.0
