child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
GENOTYPE 99,POBEDA,Parent 2,SSR,SSR,24.0,30.980259302085,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
HAGHTANAK,RECONSTRUCTED GENOTYPE 14,Parent 1,SSR,SSR,24.0,54.5702334597871,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,"Half confirmation of breeder's data: new P1, confirmation  of P2 | Margaryan 2021 Biology 10:1279; 24 nSSR loci"
HAGHTANAK,SAPERAVI,Parent 2,SSR,SSR,24.0,54.5702334597871,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,"Half confirmation of breeder's data: new P1, confirmation  of P2 | Margaryan 2021 Biology 10:1279; 24 nSSR loci"
HAGHTANAKI QUYR,RECONSTRUCTED GENOTYPE 14,Parent 1,SSR,SSR,24.0,46.4912797265648,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
HAGHTANAKI QUYR,SAPERAVI,Parent 2,SSR,SSR,24.0,46.4912797265648,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
HAYASTAN,ANGUR KALAN,Parent 1,SSR,SSR,24.0,33.4069933348656,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
HAYASTAN,ITALIA,Parent 2,SSR,SSR,24.0,33.4069933348656,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
HAYRENIQ,ALPHONSE LAVALLEE,Parent 1,SSR,SSR,24.0,37.9803035540126,Margaryan et al. 2021,10.3390/biology10121279,2021,rejected,"Invalidation of breeders data: new P1, new P2 | Margaryan 2021 Biology 10:1279; 24 nSSR loci"
HAYRENIQ,ANGUR KALAN,Parent 2,SSR,SSR,24.0,37.9803035540126,Margaryan et al. 2021,10.3390/biology10121279,2021,rejected,"Invalidation of breeders data: new P1, new P2 | Margaryan 2021 Biology 10:1279; 24 nSSR loci"
HRUSHAKI,SULTANINA,Parent 1,SSR,SSR,24.0,35.6286915033999,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,"Half confirmation of breeder's data: confirmation of P1, new P2. Confirmation of prior publication: Lacombe et al. 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci"
