child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
Touriga nacional,Tarrango,,SNP (10K genome-wide),SNP,10202,1374,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1374; mismatches=0/10202; KING kinship=0.2555; IBS0=3; Previously: Lacombe et al. 2013
Tarrango,Touriga nacional,,SNP (10K genome-wide),SNP,10202,1374,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1374; mismatches=0/10202; KING kinship=0.2555; IBS0=3; Previously: Lacombe et al. 2013
Tressot,Gascon,,SNP (10K genome-wide),SNP,10165,1555,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1555; mismatches=1/10165; KING kinship=0.2384; IBS0=3; Previously: Lacombe et al. 2013
Gascon,Tressot,,SNP (10K genome-wide),SNP,10165,1555,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1555; mismatches=1/10165; KING kinship=0.2384; IBS0=3; Previously: Lacombe et al. 2013
Tressot,Petit Verdot,,SNP (10K genome-wide),SNP,10202,1855,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1855; mismatches=1/10202; KING kinship=0.255; IBS0=3; Previously: Lacombe et al. 2013
Petit Verdot,Tressot,,SNP (10K genome-wide),SNP,10202,1855,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1855; mismatches=1/10202; KING kinship=0.255; IBS0=3; Previously: Lacombe et al. 2013
Tsitsa Kaprei,Shabash,,SNP (10K genome-wide),SNP,10205,1516,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1516; mismatches=1/10205; KING kinship=0.2361; IBS0=3
Shabash,Tsitsa Kaprei,,SNP (10K genome-wide),SNP,10205,1516,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1516; mismatches=1/10205; KING kinship=0.2361; IBS0=3
Turki,Heptakilo,,SNP (10K genome-wide),SNP,10200,1401,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1401; mismatches=2/10200; KING kinship=0.2593; IBS0=4; Previously: Lacombe et al. 2013
Heptakilo,Turki,,SNP (10K genome-wide),SNP,10200,1401,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1401; mismatches=2/10200; KING kinship=0.2593; IBS0=4; Previously: Lacombe et al. 2013
Txakoli = Hondarrabi beltza,Gros Cabernet,,SNP (10K genome-wide),SNP,10195,2057,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=2057; mismatches=3/10195; KING kinship=0.2464; IBS0=4; Previously: Lacombe et al. 2013
Gros Cabernet,Txakoli = Hondarrabi beltza,,SNP (10K genome-wide),SNP,10195,2057,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=2057; mismatches=3/10195; KING kinship=0.2464; IBS0=4; Previously: Lacombe et al. 2013
Txakoli = Hondarrabi beltza,Cabernet franc,,SNP (10K genome-wide),SNP,10195,1764,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1764; mismatches=2/10195; KING kinship=0.2334; IBS0=4; Previously: Lacombe et al. 2013
Cabernet franc,Txakoli = Hondarrabi beltza,,SNP (10K genome-wide),SNP,10195,1764,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1764; mismatches=2/10195; KING kinship=0.2334; IBS0=4; Previously: Lacombe et al. 2013
Urbanitraube noir (Collection Oberlin),Battraube,,SNP (10K genome-wide),SNP,10094,1361,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1361; mismatches=1/10094; KING kinship=0.221; IBS0=4; Previously: Lacombe et al. 2013
Battraube,Urbanitraube noir (Collection Oberlin),,SNP (10K genome-wide),SNP,10094,1361,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1361; mismatches=1/10094; KING kinship=0.221; IBS0=4; Previously: Lacombe et al. 2013
Urmi dinka,Kadarka,,SNP (10K genome-wide),SNP,10082,1281,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1281; mismatches=2/10082; KING kinship=0.2507; IBS0=4; Previously: Lacombe et al. 2013
Kadarka,Urmi dinka,,SNP (10K genome-wide),SNP,10082,1281,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1281; mismatches=2/10082; KING kinship=0.2507; IBS0=4; Previously: Lacombe et al. 2013
Urmi dinka,Izsaki sarfeher,,SNP (10K genome-wide),SNP,10207,1394,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1394; mismatches=0/10207; KING kinship=0.2278; IBS0=4; Previously: Lacombe et al. 2013
Izsaki sarfeher,Urmi dinka,,SNP (10K genome-wide),SNP,10207,1394,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1394; mismatches=0/10207; KING kinship=0.2278; IBS0=4; Previously: Lacombe et al. 2013
Uva de Rey,Airén,,SNP (10K genome-wide),SNP,10145,1281,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1281; mismatches=0/10145; KING kinship=0.2451; IBS0=4; Previously: Lacombe et al. 2013
Airén,Uva de Rey,,SNP (10K genome-wide),SNP,10145,1281,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1281; mismatches=0/10145; KING kinship=0.2451; IBS0=4; Previously: Lacombe et al. 2013
Uva di Troia,Bombino bianco,,SNP (10K genome-wide),SNP,10141,1287,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1287; mismatches=2/10141; KING kinship=0.2387; IBS0=4; Previously: Lacombe et al. 2013
Bombino bianco,Uva di Troia,,SNP (10K genome-wide),SNP,10141,1287,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1287; mismatches=2/10141; KING kinship=0.2387; IBS0=4; Previously: Lacombe et al. 2013
Valensi noir,Valencí blanco,,SNP (10K genome-wide),SNP,10101,1356,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1356; mismatches=3/10101; KING kinship=0.2361; IBS0=4; Previously: Lacombe et al. 2013
Valencí blanco,Valensi noir,,SNP (10K genome-wide),SNP,10101,1356,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1356; mismatches=3/10101; KING kinship=0.2361; IBS0=4; Previously: Lacombe et al. 2013
Variété d'oasis Bou Chemma 46,Turki,,SNP (10K genome-wide),SNP,10202,1509,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1509; mismatches=0/10202; KING kinship=0.2501; IBS0=4; Previously: Lacombe et al. 2013
Turki,Variété d'oasis Bou Chemma 46,,SNP (10K genome-wide),SNP,10202,1509,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1509; mismatches=0/10202; KING kinship=0.2501; IBS0=4; Previously: Lacombe et al. 2013
Verdejo,Castellana blanca,,SNP (10K genome-wide),SNP,10207,1078,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1078; mismatches=0/10207; KING kinship=0.2233; IBS0=4; Previously: Lacombe et al. 2013
Castellana blanca,Verdejo,,SNP (10K genome-wide),SNP,10207,1078,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1078; mismatches=0/10207; KING kinship=0.2233; IBS0=4; Previously: Lacombe et al. 2013
