child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
VITOUSKA,MALVASIA BIANCA LUNGA,Parent 2,SSR,SSR,31,3.090e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,Confirmed pedigree; Reported also in Crespan et al 2007; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=0
WURZER,MÜLLER THURGAU,Parent 1,SSR,SSR,31,4.580e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=0
WURZER,TRAMINER ROT,Parent 2,SSR,SSR,31,4.580e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=0
CARDINAL,ALPHONSE LAVALLÉE,Parent 1,SSR,SSR,32,3.150e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,revised,Revised/corrected pedigree; Reported as 'Frame Tokai x Ribier' and revised in Akkak et al 2007 and Ibáñez et al 2009; Cipriani 2010 TAG 121:1569; 32 SSR loci; mismatches=0
CARDINAL,REGINA DEI VIGNETI,Parent 2,SSR,SSR,32,3.150e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,revised,Revised/corrected pedigree; Reported as 'Frame Tokai x Ribier' and revised in Akkak et al 2007 and Ibáñez et al 2009; Cipriani 2010 TAG 121:1569; 32 SSR loci; mismatches=0
COVE',HARSLEVELU,Parent 1,SSR,SSR,29,4.890e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,revised,Revised/corrected pedigree; Reported as 'Harslevelu x Malvasia bianca lunga' by the breeder; Cipriani 2010 TAG 121:1569; 29 SSR loci; mismatches=1
COVE',HARSLEVELU,Parent 2,SSR,SSR,29,4.890e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,revised,Revised/corrected pedigree; Reported as 'Harslevelu x Malvasia bianca lunga' by the breeder; Cipriani 2010 TAG 121:1569; 29 SSR loci; mismatches=1
INC MANZONI 2 14,CABERNET FRANC,Parent 1,SSR,SSR,30,2.820e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,revised,Revised/corrected pedigree; Reported as 'Cabernet Sauvignon x Prosecco' by the breeder; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=1
INC MANZONI 2 14,PROSECCO,Parent 2,SSR,SSR,30,2.820e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,revised,Revised/corrected pedigree; Reported as 'Cabernet Sauvignon x Prosecco' by the breeder; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=1
INC MANZONI 2 15,CABERNET FRANC,Parent 1,SSR,SSR,30,2.800e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,revised,Revised/corrected pedigree; Reported as 'Cabernet Sauvignon x Prosecco' by the breeder; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=0
INC MANZONI 2 15,PROSECCO,Parent 2,SSR,SSR,30,2.800e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,revised,Revised/corrected pedigree; Reported as 'Cabernet Sauvignon x Prosecco' by the breeder; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=0
INCTERZI N1,BARBERA,Parent 1,SSR,SSR,29,2.530e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,revised,Revised/corrected pedigree; Reported in  VIVC as 'Barbera x Cabernet franc'; Cipriani 2010 TAG 121:1569; 29 SSR loci; mismatches=2
INCTERZI N1,MERLOT,Parent 2,SSR,SSR,29,2.530e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,revised,Revised/corrected pedigree; Reported in  VIVC as 'Barbera x Cabernet franc'; Cipriani 2010 TAG 121:1569; 29 SSR loci; mismatches=2
LAGREIN,SCHIAVA GENTILE,Parent 1,SSR,SSR,7,2.560e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,revised,Revised/corrected pedigree; Teroldego' already reported as a parent in Vouillamoz and Grando 2006; Cipriani 2010 TAG 121:1569; 7 SSR loci; mismatches=2
LAGREIN,TEROLDEGO,Parent 2,SSR,SSR,7,2.560e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,revised,Revised/corrected pedigree; Teroldego' already reported as a parent in Vouillamoz and Grando 2006; Cipriani 2010 TAG 121:1569; 7 SSR loci; mismatches=2
MANZONI MOSCATO,RABOSO VERONESE,Parent 1,SSR,SSR,30,2.430e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,revised,Revised/corrected pedigree; Reported as 'Raboso del Piave x Moscato d'Amburgo' by the breeder; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=1
MANZONI MOSCATO,MOSCATO D'AMBURGO,Parent 2,SSR,SSR,30,2.430e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,revised,Revised/corrected pedigree; Reported as 'Raboso del Piave x Moscato d'Amburgo' by the breeder; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=1
MATHIASZ 210,CHASSELAS DORATO,Parent 1,SSR,SSR,33,3.170e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,revised,Revised/corrected pedigree; Reported as 'Chasselas rouge de Fonce x Muscat Ottonel'; Cipriani 2010 TAG 121:1569; 33 SSR loci; mismatches=1
