vivc_prime_name,vivc_no,vivc_origin,vivc_species,vivc_color,vivc_parent1,vivc_parent2,in_passport,in_marker_support,in_vivc_confirmed,in_constantini_2026,in_myles_2011,in_lacombe_2013,in_oliveira_2020,in_lac_emanuelli_2020,in_laucou_2018,in_liang_2019,in_grin_pedigree,in_grin_alignment,in_ssr_vivc,in_ssr_migliaro,in_ssr_lacombe,in_ssr_oliveira,in_node_profile,n_sources,name_in_marker_support,name_in_vivc_confirmed,name_in_constantini_2026,name_in_myles_2011,name_in_lacombe_2013,name_in_oliveira_2020,name_in_lac_emanuelli_2020,name_in_laucou_2018,name_in_liang_2019,name_in_grin_pedigree,name_in_grin_alignment,grin_accession_id,grin_match_methods,is_alias,aliases,in_alias_map,passport_candidate
AHMEUR BOU AHMEUR,140,ALGERIA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,ROUGE,,,True,False,True,False,False,True,False,True,True,True,False,False,False,False,True,False,True,8,,,,,,,,,,,,,,True,FLAME TOKAY,True,
BELLINO,1109,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,BLACK MOROCCO,SCHIAVA GROSSA,True,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False,True,8,,,,,,,,,,,Bellino,DVIT_352,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
BERMESTIA BIANCA,1178,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,True,8,,,,,,,,,,,Bermestia Bianca,DVIT_654,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
BOMBINO BIANCO,1533,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,True,False,False,True,True,True,True,False,False,True,False,False,False,False,True,8,,,,,,,,,,,Bombino Bianco,DVIT_670,M1_exact|M3_umlaut|M4_hybrid_spacing,True,COLA TAMBURO,True,
CORNIFESTO,2846,PORTUGAL,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,CAYETANA BLANCA,ALFROCHEIRO,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,True,8,,,,,,,,,,,Cornifesto,DVIT_698,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
DUREZA,22231,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,8,,,,,,,,,,,,,,False,,False,
FOLLE BLANCHE,4183,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False,True,8,,,,,,,,,,,Folle Blanche,DVIT_919,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
FOSTER'S WHITE SEEDLING,4204,UNITED KINGDOM,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,BLACK MOROCCO,SCHIAVA GROSSA,True,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False,True,8,,,,,,,,,,,Foster's white seedling,DVIT_2161,M1_exact|M3_umlaut|M4_hybrid_spacing,True,FOSTER'S SEEDLING,True,
GREC ROUGE,4962,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,ROUGE,,,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,True,8,,,,,,,,,,,Grec Rouge,DVIT_747,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
GRILLO,5021,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,CATARRATTO BIANCO COMUNE,MUSCAT OF ALEXANDRIA,True,False,True,False,True,True,False,True,True,False,False,False,False,False,True,False,True,8,,,,,,,,,,,,,,False,,False,
