vivc_prime_name,n_sources,passport_candidate,in_marker_support,in_vivc_confirmed,in_constantini_2026,in_myles_2011,in_lacombe_2013,in_oliveira_2020,in_lac_emanuelli_2020,in_laucou_2018,in_liang_2019,in_grin_pedigree,in_grin_alignment,in_ssr_vivc,in_ssr_migliaro,in_ssr_lacombe,in_ssr_oliveira,in_node_profile,name_in_lacombe_2013,name_in_laucou_2018,name_in_lac_emanuelli_2020,name_in_grin_pedigree,name_in_grin_alignment,grin_accession_id
AMARAL = CAIÑO LONGO,2,AMARAL BRANCO,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
ANCELLOTA,2,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
ANGOOR KALAN,2,ANGUR KALAN,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ANTÃO VAZ,2,,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,,,,,,
AROMATICA = PIROVANO 393,2,MALVASIA AROMATICA DI PARMA,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
ARPAD = EVÊQUE PROHASZKA,2,ARPAD,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
ASSOUAD ANOUNI,2,ASMI ASSOUAD,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
ASSYL KARA,2,BOSAR KARA,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,
AUBIN,2,AUBIN VERT,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
AURORA BLANC = CG 91‐560,2,AURORA INTA,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
AZAL,2,AZAL DOCE,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
AÏDA = PIROVANO 233,2,PIROVANO 115,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
AÏT HAMAMA,2,AIT HAMAMA,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BACCHUS BIDAULT,2,BACCHUS WEISS (4N),False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BACHET,2,BACHET NOIR,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BAKATOR TÜDÖSZINÜ FAUX,2,BAKATOR TUEDOESZINUE FAUX,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BALOUZME = MOUHAMADI,2,BALOUZME,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BARCELLO,2,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BARESANA = KORITHI ASPRO,2,KORITHI ASPRO,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BATTRAUBE,2,,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,,,,
BEAUSOLEIL = VIDAL 83 T,2,BEAUSOLEIL,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BELLE DE CEGLED,2,BELLE PERLE,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
