child,parent1,parent2,vivc_number,vivc_color,vivc_species,vivc_pedigree_confirmed_markers,child_Vv_pct,child_NA1_pct,child_NA2_pct,child_Mus_pct,child_EA_pct,child_passQC,p1_Vv_pct,p1_NA1_pct,p1_NA2_pct,p1_Mus_pct,p1_EA_pct,p1_passQC,p2_Vv_pct,p2_NA1_pct,p2_NA2_pct,p2_Mus_pct,p2_EA_pct,p2_passQC,expected_Vv_pct,expected_NA1_pct,expected_NA2_pct,expected_Mus_pct,expected_EA_pct,mean_abs_deviation_pp,max_abs_deviation_pp,ancestry_consistency_score,support_category,existing_marker_support,child_match_methods,p1_match_methods,p2_match_methods,min_confirming_methods,child_ambiguous,p1_ambiguous,p2_ambiguous
HANOVER,BRIGHTON,NIAGARA,5288,ROUGE,VITIS INTERSPECIFIC CROSSING,view,22.1,0.0,77.9,0.0,0.0,True,50.8,0.0,49.1,0.0,0.1,True,50.3,0.5,49.2,0.0,0.0,True,50.55,0.25,49.15,0.0,0.05,11.5,28.75,0.885,weak,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
HECTOR,CHASSELAS ROSE,BROCTON,5337,ROSE,VITIS INTERSPECIFIC CROSSING,,76.6,0.0,23.4,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,51.6,0.3,48.2,0.0,0.0,True,75.8,0.15,24.1,0.0,0.0,0.33,0.8,0.9967,strong,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
HIDALGO,DELAGO,BRILLIANT,5388,BLANC,VITIS INTERSPECIFIC CROSSING,,24.2,25.1,49.9,0.8,0.0,True,50.2,0.0,49.8,0.0,0.0,True,50.6,0.0,49.4,0.0,0.0,True,50.4,0.0,49.6,0.0,0.0,10.48,26.2,0.8952,weak,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
IONA,CATAWBA,ISABELLA,5543,ROUGE,VITIS INTERSPECIFIC CROSSING,view,0.0,99.5,0.5,0.0,0.0,True,69.7,1.1,29.2,0.0,0.0,True,70.8,17.2,11.4,0.0,0.5,True,70.25,9.15,20.3,0.0,0.25,36.13,90.35,0.6387,conflicting,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
JANESVILLE,HARTFORD,CLINTON,5666,NOIR,VITIS INTERSPECIFIC CROSSING,,9.0,19.3,6.4,29.6,35.6,False,18.2,15.2,3.6,29.7,33.3,False,22.8,50.2,26.9,0.0,0.0,True,20.5,32.7,15.25,14.85,16.65,13.49,18.95,0.8651,weak,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
JURANCON NOIR,FOLLE BLANCHE,COT,5862,NOIR,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,view,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,99.9,0.1,0.0,0.0,0.0,True,99.95,0.05,0.0,0.0,0.0,0.02,0.05,0.9998,strong,SSR/SNP+ancestry,M5_fuzzy(r=0.960),M1_exact|M3_umlaut|M4_hybrid_spacing,M2_alias,1,False,False,False
KERNER,SCHIAVA GROSSA,RIESLING WEISS,6123,BLANC,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,view,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,99.6,0.0,0.0,0.4,0.0,True,99.8,0.0,0.0,0.2,0.0,0.08,0.2,0.9992,strong,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M2_alias,1,False,False,False
KEUKA,CHASSELAS ROSE,MILLS,6131,ROSE,VITIS INTERSPECIFIC CROSSING,,88.8,0.0,11.2,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,49.4,34.6,15.8,0.0,0.1,True,74.7,17.3,7.9,0.0,0.05,6.95,17.3,0.9305,moderate,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
LADY PATRICIA,SEIBEL 14665,DATTIER DE ST. VALLIER,6633,BLANC,VITIS INTERSPECIFIC CROSSING,,67.7,28.8,2.9,0.0,0.6,True,72.0,1.0,26.8,0.0,0.1,True,77.7,18.6,3.1,0.0,0.5,True,74.85,9.8,14.95,0.0,0.3,7.7,19.0,0.923,moderate,ancestry_only,M5_fuzzy(r=0.929),M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,1,False,False,False
LAKE EMERALD,PIXIOLA,GOLDEN MUSCAT,6673,BLANC,VITIS INTERSPECIFIC CROSSING,,8.9,18.0,3.7,32.9,36.4,False,3.4,0.0,96.6,0.0,0.0,True,50.0,50.0,0.0,0.0,0.0,True,26.7,25.0,48.3,0.0,0.0,27.74,44.6,0.7226,conflicting,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
